read_at,millis,count,Yaw(deg),Pitch(deg),Roll(deg),ax(mg),ay(mg),az(mg),target_name
2024-06-04 18:57:25.543815,56744,5210,30.3,4.8,90.4,-1.0003,0.0867,-0.0094,idle
2024-06-04 18:57:25.553815,56744,5211,30.3,4.8,90.4,-0.9945,0.0916,-0.0089,idle
2024-06-04 18:57:25.563815,56752,5212,30.3,4.8,90.4,-0.9974,0.0877,-0.007,idle
2024-06-04 18:57:25.573815,56752,5213,30.3,4.8,90.4,-1.0091,0.0794,-0.005,idle
2024-06-04 18:57:25.583815,56752,5214,30.3,4.8,90.4,-1.0174,0.0726,-0.0036,idle
2024-06-04 18:57:25.593815,56752,5215,30.3,4.8,90.4,-1.014,0.0687,-0.0031,idle
2024-06-04 18:57:25.603815,56752,5216,30.3,4.8,90.4,-1.0101,0.0628,-0.0036,idle
2024-06-04 18:57:25.613815,56752,5217,30.3,4.8,90.4,-1.0111,0.0618,-0.004,idle
2024-06-04 18:57:25.623815,56752,5218,30.3,4.8,90.4,-1.0106,0.0692,-0.0036,idle
2024-06-04 18:57:25.633815,56760,5219,30.3,4.7,90.4,-1.0106,0.0784,-0.0036,idle
2024-06-04 18:57:25.643815,56760,5220,30.3,4.8,90.4,-1.0076,0.0877,-0.0055,idle
2024-06-04 18:57:25.653815,56760,5221,30.3,4.8,90.4,-1.0032,0.0901,-0.0075,idle
2024-06-04 18:57:25.663815,56760,5222,30.3,4.8,90.4,-1.0013,0.0858,-0.0079,idle
2024-06-04 18:57:25.673815,56872,5223,30.4,4.7,90.3,-1.0023,0.0833,-0.0079,idle
2024-06-04 18:57:25.683815,56872,5224,30.4,4.7,90.3,-1.0052,0.0828,-0.0079,idle
2024-06-04 18:57:25.693815,56872,5225,30.4,4.7,90.3,-1.0076,0.0838,-0.0079,idle
2024-06-04 18:57:25.703815,56872,5226,30.4,4.7,90.3,-1.0101,0.0794,-0.0079,idle
2024-06-04 18:57:25.713815,56880,5227,30.4,4.7,90.3,-1.012,0.0745,-0.0084,idle
2024-06-04 18:57:25.723815,56880,5228,30.4,4.7,90.3,-1.0106,0.076,-0.0079,idle
2024-06-04 18:57:25.733815,56880,5229,30.4,4.7,90.4,-1.0072,0.0799,-0.007,idle
2024-06-04 18:57:25.743815,56880,5230,30.4,4.7,90.4,-1.0032,0.0858,-0.007,idle
2024-06-04 18:57:25.753815,56880,5231,30.4,4.7,90.3,-1.0013,0.0843,-0.0079,idle
2024-06-04 18:57:25.763815,56880,5232,30.4,4.7,90.4,-1.0023,0.076,-0.0084,idle
2024-06-04 18:57:25.773815,56880,5233,30.4,4.7,90.4,-1.0023,0.076,-0.0079,idle
2024-06-04 18:57:25.783815,56888,5234,30.4,4.7,90.4,-1.0047,0.0799,-0.0065,idle
