read_at,millis,count,Yaw(deg),Pitch(deg),Roll(deg),ax(mg),ay(mg),az(mg),target_name
2024-06-04 18:58:22.011169,113256,11036,102.0,11.0,69.8,-1.3914,-0.9727,0.5979,left-right
2024-06-04 18:58:22.021169,113256,11037,102.0,10.8,69.8,-1.3631,-1.0108,0.5789,left-right
2024-06-04 18:58:22.031169,113256,11038,102.0,10.5,69.8,-1.3348,-1.0201,0.5603,left-right
2024-06-04 18:58:22.041169,113256,11039,102.0,10.2,69.8,-1.3094,-0.9913,0.5501,left-right
2024-06-04 18:58:22.051169,113256,11040,102.0,10.0,69.8,-1.2552,-0.9513,0.5442,left-right
2024-06-04 18:58:22.061169,113256,11041,101.9,9.7,69.8,-1.1956,-0.9078,0.5354,left-right
2024-06-04 18:58:22.071169,113264,11042,101.9,9.5,69.8,-1.1414,-0.8619,0.5256,left-right
2024-06-04 18:58:22.081169,113368,11043,94.6,-7.4,69.1,-1.0921,-0.7945,0.5173,left-right
2024-06-04 18:58:22.091169,113376,11044,94.5,-7.5,69.1,-1.0472,-0.7213,0.5076,left-right
2024-06-04 18:58:22.101169,113376,11045,94.4,-7.6,69.1,-0.9949,-0.6598,0.4998,left-right
2024-06-04 18:58:22.111169,113376,11046,94.3,-7.7,69.1,-0.953,-0.5977,0.4954,left-right
2024-06-04 18:58:22.121169,113376,11047,94.2,-7.8,69.1,-0.93,-0.5411,0.4944,left-right
2024-06-04 18:58:22.131169,113376,11048,94.1,-7.9,69.1,-0.9144,-0.4845,0.4915,left-right
2024-06-04 18:58:22.141169,113376,11049,93.9,-7.9,69.2,-0.908,-0.4171,0.4856,left-right
2024-06-04 18:58:22.151169,113376,11050,93.8,-7.9,69.2,-0.9027,-0.3463,0.4817,left-right
2024-06-04 18:58:22.161169,113384,11051,93.7,-7.9,69.2,-0.8909,-0.2735,0.4778,left-right
2024-06-04 18:58:22.171169,113384,11052,93.5,-7.8,69.2,-0.8753,-0.2008,0.471,left-right
2024-06-04 18:58:22.181169,113384,11053,93.4,-7.8,69.2,-0.8602,-0.1358,0.4631,left-right
2024-06-04 18:58:22.191169,113384,11054,93.3,-7.7,69.3,-0.8514,-0.0704,0.4558,left-right
2024-06-04 18:58:22.201169,113384,11055,93.1,-7.6,69.3,-0.8431,-0.0025,0.447,left-right
2024-06-04 18:58:22.211169,113496,11056,79.5,1.7,69.5,-0.8304,0.0692,0.4353,left-right
2024-06-04 18:58:22.221169,113496,11057,79.4,1.8,69.5,-0.8079,0.1595,0.4216,left-right
2024-06-04 18:58:22.231169,113496,11058,79.2,1.9,69.5,-0.7791,0.2581,0.407,left-right
2024-06-04 18:58:22.241169,113504,11059,79.0,2.1,69.5,-0.7498,0.3592,0.3889,left-right
2024-06-04 18:58:22.251169,113504,11060,78.9,2.4,69.5,-0.7235,0.4725,0.3689,left-right
2024-06-04 18:58:22.261169,113504,11061,78.7,2.7,69.6,-0.6976,0.5921,0.3513,left-right
2024-06-04 18:58:22.271169,113504,11062,78.6,3.0,69.6,-0.6663,0.7059,0.3338,left-right
2024-06-04 18:58:22.281169,113504,11063,78.4,3.3,69.6,-0.6331,0.8177,0.3108,left-right
2024-06-04 18:58:22.291169,113504,11064,78.3,3.6,69.6,-0.6009,0.95,0.28,left-right
2024-06-04 18:58:22.301169,113504,11065,78.2,4.0,69.6,-0.5667,1.098,0.2459,left-right
2024-06-04 18:58:22.311169,113512,11066,78.0,4.4,69.7,-0.5228,1.2396,0.2102,left-right
2024-06-04 18:58:22.321169,113512,11067,77.9,4.8,69.7,-0.4749,1.3685,0.1751,left-right
2024-06-04 18:58:22.331169,113512,11068,77.9,5.2,69.7,-0.4407,1.4808,0.1419,left-right
2024-06-04 18:58:22.341169,113624,11069,72.4,36.3,71.1,-0.431,1.5662,0.1145,left-right
2024-06-04 18:58:22.351169,113624,11070,72.3,36.6,71.1,-0.4163,1.6194,0.0847,left-right
2024-06-04 18:58:22.361169,113624,11071,72.3,36.8,71.1,-0.3944,1.6356,0.0515,left-right
2024-06-04 18:58:22.371169,113624,11072,72.3,37.1,71.1,-0.3919,1.6282,0.0281,left-right
2024-06-04 18:58:22.381169,113624,11073,72.4,37.3,71.1,-0.3958,1.6092,0.0188,left-right
2024-06-04 18:58:22.391169,113624,11074,72.4,37.6,71.2,-0.3895,1.5901,0.0227,left-right
2024-06-04 18:58:22.401169,113632,11075,72.5,37.8,71.2,-0.3851,1.5687,0.033,left-right
2024-06-04 18:58:22.411169,113632,11076,72.6,38.0,71.3,-0.3953,1.5252,0.0422,left-right
2024-06-04 18:58:22.421169,113632,11077,72.7,38.2,71.3,-0.4163,1.4588,0.0491,left-right
2024-06-04 18:58:22.431169,113632,11078,72.8,38.3,71.4,-0.4481,1.3729,0.0564,left-right
2024-06-04 18:58:22.441169,113632,11079,73.0,38.5,71.4,-0.491,1.2625,0.0696,left-right
2024-06-04 18:58:22.451169,113632,11080,73.1,38.6,71.5,-0.5413,1.1409,0.0891,left-right
2024-06-04 18:58:22.461169,113640,11081,73.3,38.7,71.6,-0.5965,1.034,0.116,left-right
2024-06-04 18:58:22.471169,113744,11082,86.3,43.7,75.5,-0.6546,0.9564,0.1487,left-right
2024-06-04 18:58:22.481169,113744,11083,86.5,43.7,75.6,-0.7098,0.8943,0.1848,left-right
2024-06-04 18:58:22.491169,113752,11084,86.6,43.7,75.6,-0.7552,0.8113,0.2263,left-right
2024-06-04 18:58:22.501169,113752,11085,86.8,43.6,75.7,-0.8011,0.6981,0.2644,left-right
2024-06-04 18:58:22.511169,113752,11086,86.9,43.5,75.7,-0.846,0.5814,0.2991,left-right
2024-06-04 18:58:22.521169,113752,11087,87.0,43.3,75.7,-0.8665,0.4857,0.3323,left-right
2024-06-04 18:58:22.531169,113752,11088,87.1,43.1,75.7,-0.8514,0.4261,0.366,left-right
2024-06-04 18:58:22.541169,113752,11089,87.2,42.9,75.6,-0.8182,0.4188,0.3826,left-right
2024-06-04 18:58:22.551169,113760,11090,87.3,42.7,75.6,-0.8568,0.4495,0.3933,left-right
