read_at,millis,count,Yaw(deg),Pitch(deg),Roll(deg),ax(mg),ay(mg),az(mg),target_name
2024-06-04 18:57:52.390354,84000,8019,74.4,0.5,91.0,-1.616,0.5359,0.2747,up-down
2024-06-04 18:57:52.400354,84000,8020,74.4,0.6,90.8,-1.845,0.5018,0.3098,up-down
2024-06-04 18:57:52.410354,84000,8021,74.4,0.7,90.6,-2.0628,0.4529,0.3469,up-down
2024-06-04 18:57:52.420354,84000,8022,74.4,0.8,90.5,-2.2606,0.4031,0.3816,up-down
2024-06-04 18:57:52.430354,84000,8023,74.4,0.9,90.3,-2.452,0.3499,0.4129,up-down
2024-06-04 18:57:52.440354,84008,8024,74.5,0.9,90.2,-2.6317,0.2659,0.4373,up-down
2024-06-04 18:57:52.450354,84008,8025,74.5,0.9,90.1,-2.7371,0.2244,0.4465,up-down
2024-06-04 18:57:52.460354,84008,8026,74.5,0.9,90.0,-2.7635,0.2103,0.4548,up-down
2024-06-04 18:57:52.470354,84008,8027,74.5,1.0,89.9,-2.8104,0.1795,0.4666,up-down
2024-06-04 18:57:52.480354,84008,8028,74.5,1.0,89.9,-2.8494,0.1702,0.4768,up-down
2024-06-04 18:57:52.490354,84008,8029,74.5,1.0,89.9,-2.8333,0.1868,0.4885,up-down
2024-06-04 18:57:52.500354,84120,8030,73.3,2.0,88.0,-2.7703,0.2264,0.4954,up-down
2024-06-04 18:57:52.510354,84120,8031,73.3,2.0,88.0,-2.6624,0.2601,0.4934,up-down
2024-06-04 18:57:52.520354,84120,8032,73.3,2.0,88.1,-2.5062,0.2943,0.4778,up-down
2024-06-04 18:57:52.530354,84128,8033,73.3,2.0,88.1,-2.3226,0.3416,0.4573,up-down
2024-06-04 18:57:52.540354,84128,8034,73.3,2.0,88.1,-2.1458,0.3782,0.4353,up-down
2024-06-04 18:57:52.550354,84128,8035,73.3,2.0,88.2,-1.9886,0.3919,0.407,up-down
2024-06-04 18:57:52.560354,84128,8036,73.3,2.0,88.2,-1.8602,0.386,0.3787,up-down
2024-06-04 18:57:52.570354,84128,8037,73.3,2.0,88.2,-1.7513,0.3597,0.3557,up-down
2024-06-04 18:57:52.580354,84128,8038,73.3,2.0,88.3,-1.6453,0.3148,0.3377,up-down
2024-06-04 18:57:52.590354,84136,8039,73.3,2.0,88.3,-1.5443,0.2674,0.3176,up-down
2024-06-04 18:57:52.600354,84136,8040,73.3,2.0,88.4,-1.4525,0.2195,0.2947,up-down
